# Injection truth table -- cmf2.00_n600_s2030  seed=2030
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.099 M_sun
# 600 cores assigned to 66 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.099 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.227 versus 1.243, median |log10 ratio| 0.010 dex
# drawn observed size versus node size FWHMSDbs: median 39.2 versus 41.4 arcsec, median |log10 ratio| 0.065 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.10e+21, 95th 1.36e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.81 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.55 +/- 0.17  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i04j15k06       243    191    1.752e+22    2.400e+22    8.03    1.253e-18  3.2377   199.49    33.28  1
  002  i04j15k06       433    394    1.820e+22    2.400e+22    8.03    1.253e-18  3.2377   199.49    33.28  1
  003  i04j14k05       292    359    3.028e+22    2.400e+22    7.77    3.227e-18  2.1090   136.05    25.86  1
  004  i04j14k05       739    498    1.651e+22    2.400e+22    7.77    3.227e-18  2.1090   136.05    25.86  1
  005  i03j13k08       192    355    1.341e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  006  i03j12k08       547    360    1.335e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  007  i03j12k08       654    433    1.329e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  008  i03j12k08        48    669    1.489e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  009  i03j11k08       351    446    9.778e+21    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  010  i03j11k08       670    353    9.436e+21    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  011  i02j11k08        52     69    8.977e+21    6.000e+21   11.07    6.123e-20  0.5822    48.29    72.31  1
  012  i03j10k08       788    737    1.006e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  013  i03j10k08        99    137    9.980e+21    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  014  i02j10k08       345    210    8.822e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  015  i02j09k08       505    148    6.738e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  016  i02j09k08       569     89    4.758e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  017  i02j09k08       321    139    7.339e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  018  i02j09k08        77    476    7.817e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  019  i02j09k08       193    654    6.171e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  020  i02j09k08       902    587    6.731e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  021  i02j09k08       854    588    6.854e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  022  i02j09k08       545    553    6.853e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  023  i02j09k08       550    220    6.583e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  024  i02j09k08       657    259    6.316e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  025  i02j09k08       814    172    5.060e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  026  i02j09k08       869    694    6.756e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  027  i02j09k08       512    914    5.447e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  028  i02j09k08       932    611    6.352e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  029  i02j09k08        59    819    6.281e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  030  i02j09k08       839    427    6.221e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  031  i02j09k08       651    627    6.648e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  032  i02j09k08       404    635    5.235e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
